ticker,asset_class,source_index,sector,company,source_url
PPH.L,equity,ftse250,Travel and Leisure,PPHE Hotel Group,https://en.wikipedia.org/wiki/FTSE_250_Index
PRN.L,equity,ftse250,Food and drink,Princes Group,https://en.wikipedia.org/wiki/FTSE_250_Index
PRU.L,equity,ftse100,Life insurance,Prudential plc,https://en.wikipedia.org/wiki/FTSE_100_Index
PSH.L,equity,ftse100,Financial services,Pershing Square Holdings,https://en.wikipedia.org/wiki/FTSE_100_Index
PSN.L,equity,ftse100,Household goods & home construction,Persimmon,https://en.wikipedia.org/wiki/FTSE_100_Index
PSON.L,equity,ftse100,Media,Pearson plc,https://en.wikipedia.org/wiki/FTSE_100_Index
PTEC.L,equity,ftse250,Software & Computer Services,Playtech,https://en.wikipedia.org/wiki/FTSE_250_Index
QLT.L,equity,ftse250,Financial Services,Quilter,https://en.wikipedia.org/wiki/FTSE_250_Index
QQ.L,equity,ftse250,Aerospace & Defence,Qinetiq,https://en.wikipedia.org/wiki/FTSE_250_Index
RAT.L,equity,ftse250,Financial Services,Rathbones,https://en.wikipedia.org/wiki/FTSE_250_Index
RCP.L,equity,ftse250,Investment Trusts,RIT Capital Partners,https://en.wikipedia.org/wiki/FTSE_250_Index
REL.L,equity,ftse100,Media,RELX,https://en.wikipedia.org/wiki/FTSE_100_Index
RHIM.L,equity,ftse250,Support Services,RHI Magnesita,https://en.wikipedia.org/wiki/FTSE_250_Index
RICA.L,equity,ftse250,Investment Trusts,Ruffer Investment Company,https://en.wikipedia.org/wiki/FTSE_250_Index
RIO.L,equity,ftse100,Mining,Rio Tinto,https://en.wikipedia.org/wiki/FTSE_100_Index
RKT.L,equity,ftse100,Household goods & home construction,Reckitt,https://en.wikipedia.org/wiki/FTSE_100_Index
RMV.L,equity,ftse250,Media,Rightmove,https://en.wikipedia.org/wiki/FTSE_250_Index
RNK.L,equity,ftse250,Travel and Leisure,Rank Group,https://en.wikipedia.org/wiki/FTSE_250_Index
ROR.L,equity,ftse250,Industrial Engineering,Rotork,https://en.wikipedia.org/wiki/FTSE_250_Index
ROSE.L,equity,ftse250,Industrial Goods and Services,Rosebank Industries,https://en.wikipedia.org/wiki/FTSE_250_Index
RPI.L,equity,ftse250,Technology,Raspberry Pi Holdings,https://en.wikipedia.org/wiki/FTSE_250_Index
RR.L,equity,ftse100,Aerospace & defence,Rolls-Royce Holdings,https://en.wikipedia.org/wiki/FTSE_100_Index
RS1.L,equity,ftse250,Industrials,RS Group,https://en.wikipedia.org/wiki/FTSE_250_Index
RSW.L,equity,ftse250,Electronic & Electrical Equipment,Renishaw,https://en.wikipedia.org/wiki/FTSE_250_Index
RTO.L,equity,ftse100,Support services,Rentokil Initial,https://en.wikipedia.org/wiki/FTSE_100_Index
RTW.L,equity,ftse250,Investment Trusts,RTW Biotech Opportunities,https://en.wikipedia.org/wiki/FTSE_250_Index
SAFE.L,equity,ftse250,Real Estate Investment Trusts,Safestore,https://en.wikipedia.org/wiki/FTSE_250_Index
SAGA.L,equity,ftse250,Travel and Leisure,Saga,https://en.wikipedia.org/wiki/FTSE_250_Index
SAIN.L,equity,ftse250,Investment Trusts,Scottish American Investment Company,https://en.wikipedia.org/wiki/FTSE_250_Index
SBRY.L,equity,ftse100,Food & drug retailing,Sainsbury's,https://en.wikipedia.org/wiki/FTSE_100_Index
SCT.L,equity,ftse250,Software & Computer Services,Softcat,https://en.wikipedia.org/wiki/FTSE_250_Index
SDLF.L,equity,ftse100,Life insurance,Standard Life,https://en.wikipedia.org/wiki/FTSE_100_Index
SDP.L,equity,ftse250,Investment Trusts,Schroder AsiaPacific Fund,https://en.wikipedia.org/wiki/FTSE_250_Index
SDR.L,equity,ftse100,Financial services,Schroders,https://en.wikipedia.org/wiki/FTSE_100_Index
SEIT.L,equity,ftse250,Energy,SDCL Efficiency Income Trust,https://en.wikipedia.org/wiki/FTSE_250_Index
SEQI.L,equity,ftse250,Financial Services,Sequoia Economic Infrastructure Income Fund,https://en.wikipedia.org/wiki/FTSE_250_Index
SGE.L,equity,ftse100,Software & computer services,Sage Group,https://en.wikipedia.org/wiki/FTSE_100_Index
SGRO.L,equity,ftse100,Real estate investment trusts,Segro,https://en.wikipedia.org/wiki/FTSE_100_Index
SHAW.L,equity,ftse250,Banking,Shawbrook Bank,https://en.wikipedia.org/wiki/FTSE_250_Index
SHC.L,equity,ftse250,Real Estate Investment Trusts,Shaftesbury Capital,https://en.wikipedia.org/wiki/FTSE_250_Index
SHEL.L,equity,ftse100,Oil & gas producers,Shell plc,https://en.wikipedia.org/wiki/FTSE_100_Index
SMIN.L,equity,ftse100,General industrials,Smiths Group,https://en.wikipedia.org/wiki/FTSE_100_Index
SMT.L,equity,ftse100,Collective investments,Scottish Mortgage Investment Trust,https://en.wikipedia.org/wiki/FTSE_100_Index
SMWH.L,equity,ftse250,Retailers,WHSmith,https://en.wikipedia.org/wiki/FTSE_250_Index
SN.L,equity,ftse100,Health care equipment & supplies,Smith & Nephew,https://en.wikipedia.org/wiki/FTSE_100_Index
SNR.L,equity,ftse250,Aerospace & Defence,Senior,https://en.wikipedia.org/wiki/FTSE_250_Index
SOI.L,equity,ftse250,Financial Services,Schroder Oriental Income Fund,https://en.wikipedia.org/wiki/FTSE_250_Index
SPI.L,equity,ftse250,Health Care Equipment & Services,Spire Healthcare,https://en.wikipedia.org/wiki/FTSE_250_Index
SPX.L,equity,ftse100,Industrial engineering,Spirax Group,https://en.wikipedia.org/wiki/FTSE_100_Index
SRE.L,equity,ftse250,Real Estate,Sirius Real Estate,https://en.wikipedia.org/wiki/FTSE_250_Index
SRP.L,equity,ftse250,Support Services,Serco,https://en.wikipedia.org/wiki/FTSE_250_Index
SSE.L,equity,ftse100,Electrical utilities & independent power producers,SSE plc,https://en.wikipedia.org/wiki/FTSE_100_Index
SSIT.L,equity,ftse250,Investment Trusts,Seraphim Space Investment Trust,https://en.wikipedia.org/wiki/FTSE_250_Index
SSPG.L,equity,ftse250,Retailers,SSP Group,https://en.wikipedia.org/wiki/FTSE_250_Index
STAN.L,equity,ftse100,Banks,Standard Chartered,https://en.wikipedia.org/wiki/FTSE_100_Index
STJ.L,equity,ftse100,Financial services,St. James's Place,https://en.wikipedia.org/wiki/FTSE_100_Index
SUPR.L,equity,ftse250,Real Estate Investment Trusts,Supermarket Income REIT,https://en.wikipedia.org/wiki/FTSE_250_Index
SVS.L,equity,ftse250,Real Estate Investment & Services,Savills,https://en.wikipedia.org/wiki/FTSE_250_Index
SVT.L,equity,ftse100,Multiline utilities,Severn Trent,https://en.wikipedia.org/wiki/FTSE_100_Index
SYNC.L,equity,ftse250,Pharmaceuticals & Biotechnology,Syncona,https://en.wikipedia.org/wiki/FTSE_250_Index
TATE.L,equity,ftse250,Food Producers,Tate & Lyle,https://en.wikipedia.org/wiki/FTSE_250_Index
TBCG.L,equity,ftse250,Banks,TBC Bank,https://en.wikipedia.org/wiki/FTSE_250_Index
TCAP.L,equity,ftse250,Support Services,TP ICAP,https://en.wikipedia.org/wiki/FTSE_250_Index
TEM.L,equity,ftse250,Investment Trusts,Templeton Emerging Markets Investment Trust,https://en.wikipedia.org/wiki/FTSE_250_Index
TEP.L,equity,ftse250,Telecomms,Telecom Plus,https://en.wikipedia.org/wiki/FTSE_250_Index
TFIF.L,equity,ftse250,Investment Trusts,Twentyfour Income Fund,https://en.wikipedia.org/wiki/FTSE_250_Index
THG.L,equity,ftse250,Personal Products,THG,https://en.wikipedia.org/wiki/FTSE_250_Index
THRL.L,equity,ftse250,Real Estate Investment Trusts,Target Healthcare REIT,https://en.wikipedia.org/wiki/FTSE_250_Index
TMPL.L,equity,ftse250,Collective Investments,Temple Bar Investment Trust,https://en.wikipedia.org/wiki/FTSE_250_Index
TPK.L,equity,ftse250,Support Services,Travis Perkins,https://en.wikipedia.org/wiki/FTSE_250_Index
TRIG.L,equity,ftse250,Investment Trusts,The Renewables Infrastructure Group,https://en.wikipedia.org/wiki/FTSE_250_Index
TRN.L,equity,ftse250,Industrial Transportation,Trainline,https://en.wikipedia.org/wiki/FTSE_250_Index
TRST.L,equity,ftse250,Technology,Trustpilot,https://en.wikipedia.org/wiki/FTSE_250_Index
TRY.L,equity,ftse250,Investment Trusts,TR Property Investment Trust,https://en.wikipedia.org/wiki/FTSE_250_Index
TSCO.L,equity,ftse100,Food & drug retailing,Tesco,https://en.wikipedia.org/wiki/FTSE_100_Index
TW.L,equity,ftse250,Household goods & home construction,Taylor Wimpey,https://en.wikipedia.org/wiki/FTSE_250_Index
UEM.L,equity,ftse250,Investment Trusts,Utilico Emerging Markets,https://en.wikipedia.org/wiki/FTSE_250_Index
UKW.L,equity,ftse250,"Gas, Water & Multiutilities",Greencoat UK Wind,https://en.wikipedia.org/wiki/FTSE_250_Index
ULVR.L,equity,ftse100,Personal goods,Unilever,https://en.wikipedia.org/wiki/FTSE_100_Index
USA.L,equity,ftse250,Investment Trusts,Baillie Gifford US Growth Trust,https://en.wikipedia.org/wiki/FTSE_250_Index
UTG.L,equity,ftse250,Real estate investment trusts,Unite Group,https://en.wikipedia.org/wiki/FTSE_250_Index
UU.L,equity,ftse100,Multiline utilities,United Utilities,https://en.wikipedia.org/wiki/FTSE_100_Index
VCT.L,equity,ftse250,Chemicals,Victrex,https://en.wikipedia.org/wiki/FTSE_250_Index
VEIL.L,equity,ftse250,General Financial,Vietnam Enterprise Investments,https://en.wikipedia.org/wiki/FTSE_250_Index
VOD.L,equity,ftse100,Mobile telecommunications,Vodafone Group,https://en.wikipedia.org/wiki/FTSE_100_Index
VOF.L,equity,ftse250,General Financial,VinaCapital Vietnam Opportunity Fund,https://en.wikipedia.org/wiki/FTSE_250_Index
VSVS.L,equity,ftse250,General Industrials,Vesuvius,https://en.wikipedia.org/wiki/FTSE_250_Index
VTY.L,equity,ftse250,Home Construction,Vistry Group,https://en.wikipedia.org/wiki/FTSE_250_Index
WEIR.L,equity,ftse100,Industrial goods and services,Weir,https://en.wikipedia.org/wiki/FTSE_100_Index
WIX.L,equity,ftse250,Retailers,Wickes,https://en.wikipedia.org/wiki/FTSE_250_Index
WIZZ.L,equity,ftse250,Travel & Leisure,Wizz Air,https://en.wikipedia.org/wiki/FTSE_250_Index
WKP.L,equity,ftse250,Real Estate Investment Trusts,Workspace Group,https://en.wikipedia.org/wiki/FTSE_250_Index
WOSG.L,equity,ftse250,Personal Goods,Watches of Switzerland,https://en.wikipedia.org/wiki/FTSE_250_Index
WPP.L,equity,ftse250,Media,WPP,https://en.wikipedia.org/wiki/FTSE_250_Index
WTB.L,equity,ftse100,Retail hospitality,Whitbread,https://en.wikipedia.org/wiki/FTSE_100_Index
WWH.L,equity,ftse250,Investment Trusts,Worldwide Healthcare Trust,https://en.wikipedia.org/wiki/FTSE_250_Index
XPP.L,equity,ftse250,Industrial Goods and Services,XP Power,https://en.wikipedia.org/wiki/FTSE_250_Index
XPS.L,equity,ftse250,Financial Services,XPS Pensions,https://en.wikipedia.org/wiki/FTSE_250_Index
ZIG.L,equity,ftse250,Support Services,Zigup,https://en.wikipedia.org/wiki/FTSE_250_Index
