ticker,asset_class,source_index,sector,company,security_code,source_url
4902.T,equity,nikkei225,UNKNOWN,"KONICA MINOLTA, INC.",4902,https://indexes.nikkei.co.jp/en/nkave/index/component
4911.T,equity,nikkei225,UNKNOWN,"SHISEIDO CO., LTD.",4911,https://indexes.nikkei.co.jp/en/nkave/index/component
5019.T,equity,nikkei225,UNKNOWN,"IDEMITSU KOSAN CO., LTD.",5019,https://indexes.nikkei.co.jp/en/nkave/index/component
5020.T,equity,nikkei225,UNKNOWN,"ENEOS HOLDINGS, INC.",5020,https://indexes.nikkei.co.jp/en/nkave/index/component
5101.T,equity,nikkei225,UNKNOWN,"THE YOKOHAMA RUBBER CO., LTD.",5101,https://indexes.nikkei.co.jp/en/nkave/index/component
5108.T,equity,nikkei225,UNKNOWN,BRIDGESTONE CORP.,5108,https://indexes.nikkei.co.jp/en/nkave/index/component
5201.T,equity,nikkei225,UNKNOWN,AGC INC.,5201,https://indexes.nikkei.co.jp/en/nkave/index/component
5214.T,equity,nikkei225,UNKNOWN,"NIPPON ELECTRIC GLASS CO., LTD.",5214,https://indexes.nikkei.co.jp/en/nkave/index/component
5233.T,equity,nikkei225,UNKNOWN,TAIHEIYO CEMENT CORP.,5233,https://indexes.nikkei.co.jp/en/nkave/index/component
5301.T,equity,nikkei225,UNKNOWN,"TOKAI CARBON CO., LTD.",5301,https://indexes.nikkei.co.jp/en/nkave/index/component
5332.T,equity,nikkei225,UNKNOWN,TOTO LTD.,5332,https://indexes.nikkei.co.jp/en/nkave/index/component
5333.T,equity,nikkei225,UNKNOWN,NGK CORP.,5333,https://indexes.nikkei.co.jp/en/nkave/index/component
5401.T,equity,nikkei225,UNKNOWN,NIPPON STEEL CORP.,5401,https://indexes.nikkei.co.jp/en/nkave/index/component
5406.T,equity,nikkei225,UNKNOWN,"KOBE STEEL, LTD.",5406,https://indexes.nikkei.co.jp/en/nkave/index/component
5411.T,equity,nikkei225,UNKNOWN,"JFE HOLDINGS, INC.",5411,https://indexes.nikkei.co.jp/en/nkave/index/component
543A.T,equity,nikkei225,UNKNOWN,ARCHION CORP.,543A,https://indexes.nikkei.co.jp/en/nkave/index/component
5631.T,equity,nikkei225,UNKNOWN,"THE JAPAN STEEL WORKS, LTD.",5631,https://indexes.nikkei.co.jp/en/nkave/index/component
5706.T,equity,nikkei225,UNKNOWN,"MITSUI KINZOKU CO., LTD.",5706,https://indexes.nikkei.co.jp/en/nkave/index/component
5711.T,equity,nikkei225,UNKNOWN,MITSUBISHI MATERIALS CORP.,5711,https://indexes.nikkei.co.jp/en/nkave/index/component
5713.T,equity,nikkei225,UNKNOWN,"SUMITOMO METAL MINING CO., LTD.",5713,https://indexes.nikkei.co.jp/en/nkave/index/component
5714.T,equity,nikkei225,UNKNOWN,"DOWA HOLDINGS CO., LTD.",5714,https://indexes.nikkei.co.jp/en/nkave/index/component
5801.T,equity,nikkei225,UNKNOWN,"FURUKAWA ELECTRIC CO., LTD.",5801,https://indexes.nikkei.co.jp/en/nkave/index/component
5802.T,equity,nikkei225,UNKNOWN,"SUMITOMO ELECTRIC IND., LTD.",5802,https://indexes.nikkei.co.jp/en/nkave/index/component
5803.T,equity,nikkei225,UNKNOWN,FUJIKURA LTD.,5803,https://indexes.nikkei.co.jp/en/nkave/index/component
5831.T,equity,nikkei225,UNKNOWN,"SHIZUOKA FINANCIAL GROUP, INC.",5831,https://indexes.nikkei.co.jp/en/nkave/index/component
6098.T,equity,nikkei225,UNKNOWN,"RECRUIT HOLDINGS CO., LTD.",6098,https://indexes.nikkei.co.jp/en/nkave/index/component
6103.T,equity,nikkei225,UNKNOWN,OKUMA CORP.,6103,https://indexes.nikkei.co.jp/en/nkave/index/component
6113.T,equity,nikkei225,UNKNOWN,"AMADA CO., LTD.",6113,https://indexes.nikkei.co.jp/en/nkave/index/component
6146.T,equity,nikkei225,UNKNOWN,DISCO CORP.,6146,https://indexes.nikkei.co.jp/en/nkave/index/component
6178.T,equity,nikkei225,UNKNOWN,"JAPAN POST HOLDINGS CO., LTD.",6178,https://indexes.nikkei.co.jp/en/nkave/index/component
6273.T,equity,nikkei225,UNKNOWN,SMC CORP.,6273,https://indexes.nikkei.co.jp/en/nkave/index/component
6301.T,equity,nikkei225,UNKNOWN,KOMATSU LTD.,6301,https://indexes.nikkei.co.jp/en/nkave/index/component
6302.T,equity,nikkei225,UNKNOWN,"SUMITOMO HEAVY IND., LTD.",6302,https://indexes.nikkei.co.jp/en/nkave/index/component
6305.T,equity,nikkei225,UNKNOWN,"HITACHI CONST. MACH. CO., LTD.",6305,https://indexes.nikkei.co.jp/en/nkave/index/component
6326.T,equity,nikkei225,UNKNOWN,KUBOTA CORP.,6326,https://indexes.nikkei.co.jp/en/nkave/index/component
6361.T,equity,nikkei225,UNKNOWN,EBARA CORP.,6361,https://indexes.nikkei.co.jp/en/nkave/index/component
6367.T,equity,nikkei225,UNKNOWN,"DAIKIN INDUSTRIES, LTD.",6367,https://indexes.nikkei.co.jp/en/nkave/index/component
6471.T,equity,nikkei225,UNKNOWN,NSK LTD.,6471,https://indexes.nikkei.co.jp/en/nkave/index/component
6472.T,equity,nikkei225,UNKNOWN,NTN CORP.,6472,https://indexes.nikkei.co.jp/en/nkave/index/component
6473.T,equity,nikkei225,UNKNOWN,JTEKT CORP.,6473,https://indexes.nikkei.co.jp/en/nkave/index/component
6479.T,equity,nikkei225,UNKNOWN,MINEBEA MITSUMI INC.,6479,https://indexes.nikkei.co.jp/en/nkave/index/component
6501.T,equity,nikkei225,UNKNOWN,"HITACHI, LTD.",6501,https://indexes.nikkei.co.jp/en/nkave/index/component
6503.T,equity,nikkei225,UNKNOWN,MITSUBISHI ELECTRIC CORP.,6503,https://indexes.nikkei.co.jp/en/nkave/index/component
6504.T,equity,nikkei225,UNKNOWN,"FUJI ELECTRIC CO., LTD.",6504,https://indexes.nikkei.co.jp/en/nkave/index/component
